Word, AbstConc, Arou, IMG, Val
Hallenbetrieb, 5.558, 3.13, 4.897, 5.236
Aussenverschuldung, 4.423, 5.592, 4.712, 3.513
Finanzausgleichssystem, 4.14, 4.314, 3.343, 4.868
vertrödelt, 2.344, 4.497, 4.332, 4.561
Festsaison, 5.448, 5.685, 6.078, 6.216
Mietpauschale, 3.912, 3.145, 3.966, 4.329
Sparförderung, 4.704, 3.298, 3.792, 5.238
Krämerbrückenfest, 5.176, 5.33, 5.466, 5.689
organisierter, 3.02, 5.217, 2.663, 5.174
querköpfig, 3.428, 4.23, 3.308, 4.91
dahocken, 6.086, 3.794, 6.602, 4.463
Gesamtprognose, 3.568, 4.311, 2.912, 5.123
Beweismittelsicherung, 4.746, 4.965, 3.831, 2.952
Amazonasdschungel, 6.905, 5.059, 7.308, 4.753
Schönleben, 5.031, 3.951, 4.914, 3.794
Agnar, 4.388, 3.768, 4.772, 4.356
Kleiderzwang, 4.588, 4.929, 5.778, 5.378
Befehlsverweigerer, 4.791, 6.692, 5.381, 1.708
Dienstleistungsgenossenschaft, 4.453, 2.06, 4.368, 4.661
Mehrzweckfrachter, 6.307, 3.374, 4.768, 4.375
Gemüseverarbeitung, 5.422, 3.043, 5.311, 4.332
Eigentumsmassnahme, 4.255, 3.214, 3.47, 5.603
Arbeiterunterkunft, 5.987, 5.701, 6.498, 3.123
lesender, 3.974, 1.95, 2.46, 4.901
Publikumswirkung, 3.278, 5.704, 3.326, 5.266
Obstangebot, 5.91, 3.118, 6.018, 5.821
Sprechgerät, 6.522, 4, 5.109, 4.217
Kinoseite, 5.575, 4.366, 4.807, 4.271
Krisenbedingung, 3.475, 5.223, 3.677, 3.325
Recherchefehler, 2.776, 4.24, 2.8, 2.36
Kellerecke, 4.912, 3.07, 5.216, 4.031
Redepause, 4.49, 4.51, 4.267, 3.888
NPD-Stadtrat, 6.281, 3.583, 4.462, 3.036
Anglersee, 7.116, 2.733, 7.337, 5.21
Pensionsgeld, 5.229, 4.174, 4.752, 4.436
Büchereimitarbeiter, 6.289, 2.752, 6.029, 7.113
Staatsreserve, 5.958, 3.454, 5.533, 4.289
Tilgungsverpflichtung, 4.168, 5.591, 4.089, 4.09
Zwangsdeportation, 4.28, 6.276, 4.625, 1.427
Schluchtwald, 5.275, 2.906, 5.126, 5.788
Energiereferat, 4.795, 3.79, 3.601, 4.58
ökologieorientiert, 4.249, 3.169, 3.779, 5.416
UN-Welternährungsprogramm, 6.025, 5.047, 5.746, 3.21
Klaus-Günther, 6.299, 2.639, 5.432, 4.955
Indianer-Reservat, 5.734, 4.823, 5.957, 5.158
Pappelstrasse, 6.662, 3.464, 5.673, 4.8
Jahrhundertfund, 4.55, 5.475, 5.593, 4.468
Fluktuationsquote, 4.038, 3.338, 3.38, 2.991
Klangsäule, 5.174, 2.35, 4.378, 6.264
Alternativanlage, 3.882, 3.306, 3.244, 4.616
Löschweiher, 6.315, 2.415, 5.61, 4.481
Exponierte, 5.228, 3.568, 3.97, 4.381
Opernsaal, 6.292, 4.463, 6.453, 5.157
Tötungswerkzeug, 5.907, 7.231, 6.56, 2.765
Gesundheitsclub, 5.495, 5.269, 5.679, 6.268
entzündeter, 5.463, 5.395, 5.029, 3.495
auseinandersortieren, 4.769, 2.634, 4.885, 4.522
Gebäudekante, 5.527, 2.841, 4.907, 4.693
Vollstreckungshaftbefehl, 4.441, 5.092, 4.59, 3.182
Körperschule, 4.941, 3.669, 5.713, 6.26
Landesvorstandssprecherin, 4.965, 3.767, 4.273, 4.375
Lauchstreifen, 6.762, 2.422, 5.815, 5.034
Umschlagsgeschwindigkeit, 3.21, 2.849, 3.34, 5.036
Festivalorganisator, 6.33, 4.93, 4.821, 4.592
Runterfallen, 6.374, 5.527, 6.98, 3.074
Getreideimport, 5.87, 2.959, 5.406, 4.514
Ballwerfer, 4.974, 4.149, 5.305, 4.012
Krabbensuppe, 6.047, 2.778, 6.221, 6.732
Meisterschaftsklasse, 4.586, 3.763, 4.623, 4.462
Caterine, 5.081, 5.768, 5.115, 6.181
Uni-Betrieb, 4.431, 3.961, 3.876, 4.388
Kulturenvielfalt, 4.173, 4.547, 4.231, 6.123
Aktivenzeit, 3.562, 4.266, 2.541, 5.528
Reaktorwand, 6.01, 5.215, 6.175, 2.362
Köcherfliege, 6.294, 3.345, 6.199, 4.304
Taizé-Andacht, 4.996, 4.129, 5.248, 6.543
zentralindisch, 5.726, 4.445, 5.271, 3.905
Geschäftszeichen, 4.642, 2.188, 3.991, 4.366
Hilfszentrum, 6.406, 5.574, 6.251, 4.687
Geheimschreiber, 5.736, 2.875, 5.93, 4.063
Völkerrechtslehre, 3.684, 3.031, 2.955, 4.173
Kongresswesen, 4.739, 2.935, 4.616, 5.002
Siedlungsmuster, 4.643, 2.295, 4.196, 4.068
Polizeisoldat, 6.14, 4.044, 5.753, 3.238
Sportförderer, 4.879, 4.816, 4.779, 4.518
Zuckerrübenanbauer, 6.156, 3.942, 6.527, 4.497
Gegendrohung, 4.986, 6.225, 5.358, 2.561
Ausschusssitz, 4.318, 2.728, 4.074, 4.32
Hundertschaftsführer, 4.613, 4.38, 4.346, 1.545
Luxus-Klasse, 4.866, 3.259, 4.831, 7.291
Barmeister, 4.693, 4.319, 4.999, 5.681
Ernst-Thälmann, 6.049, 4.197, 4.31, 4.494
Flugabwehrraketengruppe, 5.409, 3.971, 4.647, 3.864
Alarmgrenze, 5.718, 4.201, 4.459, 4.929
Segelabteilung, 5.062, 2.535, 4.13, 3.829
FBD, 3.256, 3.367, 2.697, 4.501
Stallone-Film, 4.696, 5.635, 5.556, 5.848
Wattenscheiderin, 5.636, 4.174, 5.048, 3.763
Fackelträger-Verlag, 6.285, 3.568, 7.082, 5.614
Badenixe, 6.514, 4.933, 6.633, 7.502
Zweitstimmenkampagne, 4.315, 6.407, 4.707, 2.646
Messeausschuss, 6.16, 2.903, 5.419, 4.413
Aufmarschort, 5.709, 4.909, 5.342, 3.309
Druckereigebäude, 6.979, 3.264, 6.756, 4.196
Phantasiegeschichte, 4.837, 4.953, 4.828, 6.147
Intensivmast, 5.761, 5.043, 5.663, 2.47
US-Friedensbewegung, 5.184, 5.8, 5.348, 3.921
US-Untersuchung, 4.529, 5.485, 4.563, 4.288
gesellschaftsschädigend, 2.431, 5.831, 3.309, 2.717
Käsesalat, 7.928, 3.18, 7.718, 5.658
CDU-Regierungschef, 4.341, 5.042, 4.285, 3.719
Profi-Geschäft, 3.632, 4.76, 3.632, 3.736
Dacheinschnitt, 5.047, 2.537, 4.451, 4.698
Tennis-Weltrangliste, 5.175, 4.792, 5.226, 5.128
Rückreisewelle, 4.254, 4.958, 4.917, 4.615
Mammutturnier, 4.051, 4.431, 4.436, 5.777
Dschungelkämpfer, 4.51, 5.554, 4.887, 4.213
Immatrikulationsbüro, 4.699, 4.855, 4.825, 3.838
Parataxe, 3.446, 3.343, 3.211, 3.98
Burgspiel, 7.046, 4.497, 7.926, 6.857
herflitzen, 5.492, 3.85, 6.662, 4.839
staatsbildend, 2.077, 4.215, 2.552, 4.372
Opernkonzert, 4.38, 5.071, 4.738, 5.269
Erfüllungspolitik, 2.932, 5.566, 4.021, 2.18
losprügeln, 3.766, 6.366, 4.542, 3.481
europäisch-christlich, 3.096, 4.296, 3.598, 4.613
Tätowierte, 6.286, 5.872, 5.992, 3.393
Regierungskollege, 4.433, 3.781, 4.169, 5.278
Wohndorf, 4.239, 3.035, 3.465, 5.739
Siegersdorf, 5.814, 2.523, 5.115, 5.778
Wahlkampfwerbung, 4.916, 4.628, 4.836, 5.463
Klimabeobachtung, 4.599, 3.953, 4.604, 4.294
nichtproduktiv, 3.559, 4.298, 3.767, 4.175
Hemann, 5.011, 4.664, 5.127, 4.796
Umverteilen, 3.717, 4.095, 3.907, 4.757
Schlossbergstrasse, 6.169, 3.457, 6.121, 3.751
Universal-Studio, 4.254, 4.049, 5.538, 4.595
Inselmann, 5.716, 5.405, 5.724, 4.897
Wärmeeinbruch, 4.947, 4.865, 5.279, 4.853
Stoffwand, 8.804, 2.064, 7.032, 5.727
Landschaftsbezeichnung, 4.171, 2.551, 3.041, 3.909
Rothof, 5.433, 3.194, 5.499, 5.176
Walzermusik, 5.555, 4.471, 5.905, 6.572
Boule-Spieler, 7.857, 2.955, 7.309, 5.936
Krankentransportunternehmen, 5.023, 4.077, 5.331, 3.394
Info-Theke, 5.208, 3.193, 5.389, 3.708
Verkaufsfiliale, 5.261, 2.649, 5.154, 4.758
BRD-Politiker, 4.682, 4.437, 4.603, 2.975
Adelsmann, 4.658, 4.46, 5.207, 4.087
Frauenstreik, 5.314, 5.569, 5.409, 4.648
Ich-Maschine, 3.185, 5.869, 3.623, 3.816
HIV-Antikörper-Test, 4.543, 5.707, 3.971, 3.65
Räumungsversuch, 4.791, 6.333, 5.552, 3.889
Magen-Darm-Krankheit, 5.255, 5.029, 5.427, 2.372
Berufsbildungskongress, 4.122, 5.143, 3.486, 4.607
Zwangsvorführung, 4.791, 5.901, 5.574, 2.067
Orchesterfarbe, 5.064, 3.888, 4.792, 6.197
Satzgruppe, 4.892, 4.392, 4.299, 4.652
Flugbegeisterte, 4.921, 4.861, 4.683, 6.051
atombetrieben, 6.233, 4.807, 5.649, 4.008
Feudalordnung, 3.218, 5.348, 3.702, 3.569
Siedlungsbrei, 4.816, 3.276, 5.177, 2.23
Donnermeyer, 4.689, 4.213, 4.327, 3.832
Institutsgelände, 5.829, 4.043, 6.242, 4.705
Atomenergie-Agentur, 4.728, 5.15, 4.83, 3.316
türkisch-irakisch, 4.631, 6.479, 5.074, 3.642
Opel-Gang, 5.152, 5.638, 4.97, 3.706
Personalprälatur, 3.113, 4.497, 3.014, 3.614
zublinzeln, 5.587, 2.857, 6.364, 4.911
herbeiströmend, 4.891, 3.346, 5.266, 5.402
Kettenrauchen, 5.112, 5.979, 4.537, 3.388
Management-Fähigkeit, 4.518, 4.114, 3.814, 6.24
Fertigungsplan, 5.824, 1.725, 5.098, 4.09
Allerheiligenstrasse, 5.222, 2.793, 5.167, 4.718
Fährgast, 6.819, 4.58, 5.928, 4.86
herausklauben, 2.632, 3.108, 4.105, 4.247
allzeitig, 3.046, 3.406, 3.135, 6.181
Klientelsystem, 3.769, 3.811, 3.335, 3.47
Folterknast, 6.036, 5.531, 5.726, 3.067
Medienboykott, 3.309, 5.065, 4.435, 3.527
Taubental, 6.404, 4.375, 7.955, 5.7
Zebrasprotte, 6.344, 4.386, 5.449, 5.223
Meisterschaftsjahr, 4.611, 3.841, 4.984, 6.528
Klangbereich, 4.685, 2.109, 4.716, 6.683
Mindestkosten, 4.387, 4.23, 2.648, 4.373
hinwegretten, 2.75, 3.003, 2.478, 4.632
Nordmarokko, 4.38, 3.695, 4.976, 4.774
Gründungsprogramm, 4.19, 3.882, 3.425, 5.98
Willenskundgebung, 3.058, 4.517, 4.058, 5.118
Unterzeichnerland, 3.178, 4.213, 3.029, 5.314
Vassil, 6.033, 3.946, 5.095, 4.847
Gefahrenraum, 6.12, 5.463, 5.92, 3.398
Frankenbund, 5.955, 3.923, 4.976, 4.67
Kreisrunde, 5.339, 3.698, 4.506, 4.375
überpinselt, 5.157, 3.731, 5.493, 3.134
Thaddäus-Troll-Preis, 5.351, 4.731, 5.578, 5.884
durchgeformt, 4.282, 3.964, 4.089, 6.44
Mörikeschule, 5.591, 4.142, 4.972, 5.734
Krisenmeldung, 4.307, 4.728, 5.05, 4.108
Schaban, 4.116, 4.512, 5.174, 3.562
Nahverkehrswagen, 6.487, 3.423, 5.355, 4.002
Chorrock, 7.581, 1.02, 6.878, 4.22
Fussballspektakel, 4.857, 5.814, 5.27, 6.002
Unbedachtsamkeit, 2.141, 4.779, 2.406, 3.002
U-Bahn-Eingang, 7.75, 3.001, 7.243, 4.784
Stabsmitarbeiter, 5.584, 3.606, 3.976, 3.993
Hauptanreiz, 2.924, 4.01, 3.692, 6.311
Untersuchungsberechtigungsschein, 5.045, 4.377, 4.731, 4.614
Sozialklimbim, 4.384, 5.055, 4.307, 3.508
Kroll-Oper, 5.826, 3.786, 5.74, 3.6
Volleyballtrainer, 5.346, 5.116, 6.055, 5.727
Weihnachtstext, 4.636, 3.256, 5.14, 7.089
Laienhilfe, 4.839, 3.547, 4.137, 4.18
gewürgt, 5.632, 3.636, 5.73, 3.356
umbranden, 4.176, 5.247, 5.927, 4.133
Schiffsbereich, 5.517, 3.216, 5.699, 4.831
Atomwaffenversuch, 4.294, 7.342, 5.583, 3.872
zensuriert, 4.515, 4.645, 4.737, 3.971
Dreckspritzer, 6.02, 3.929, 6.201, 2.772
Sexualunterdrückung, 2.298, 6.428, 3.97, 2.88
Bauernbühne, 5.101, 4.057, 4.845, 4.616
Vereinsleistung, 3.533, 3.203, 3.233, 6.4
Interpol-Agent, 5.547, 5.993, 4.953, 3.262
Stepahn, 4.911, 3.929, 5.252, 3.969
Handlungskatalog, 3.778, 5.94, 3.001, 3.693
Schuldenbelastung, 4.066, 5.917, 3.97, 3.306
Degenfechterin, 5.955, 5.444, 5.762, 5
Metallunternehmen, 6.275, 3.824, 4.845, 4.179
Namensdiskussion, 4.766, 4.652, 3.657, 4.382
Universitätsbildung, 3.988, 4.801, 3.998, 5.099
Farbschleier, 5.754, 2.75, 5.943, 6.438
Ostbezirk, 4.601, 2.83, 4.058, 3.833
Parteienkonkurrenz, 2.99, 5.451, 2.965, 3.677
Kunststoffeinlage, 5.512, 2.427, 4.511, 5.031
Lkw-Anteil, 5.606, 3.543, 4.461, 3.639
Zaubergarten, 5.093, 4.667, 5.635, 6.794
Reifenteil, 6.553, 4.893, 6.771, 3.086
Föderalismusdebatte, 3.088, 5.164, 3.537, 4.87
Nezir, 3.988, 4.269, 4.354, 4.429
Schmerzhilfe, 6.219, 5.238, 5.116, 4.369
Gräbersegnung, 6.084, 4.004, 5.788, 3.829
Musiktip, 5.594, 3.936, 4.738, 6.436
Rationalisierungsstrategie, 3.121, 5.746, 3.706, 3.566
Pädagogikstudentin, 5.425, 4.445, 6.063, 4.284
Abgusssammlung, 5.881, 3.205, 6.582, 5.432
Provinzialausschuss, 4.711, 2.786, 4.682, 2.643
Totenvogel, 5.797, 6.173, 6.182, 2.326
Vermietungsgeschäft, 3.753, 3.307, 3.262, 5.114
Gemeinwesenarbeiter, 4.616, 4.592, 4.732, 4.279
fledermausartig, 6.385, 4.33, 6.58, 4.14
Bauzuschuss, 3.968, 3.28, 2.971, 4.915
FDP-Position, 4.012, 4.211, 3.281, 5.119
Stimmungskapelle, 5.916, 5.057, 6.207, 5.161
CDU-Kreisgeschäftsstelle, 6.341, 4.442, 5.327, 3.297
Anjela, 5.479, 4.788, 4.62, 5.029
Tonvase, 8.218, 1.983, 7.548, 5.855
Flurgarderobe, 5.952, 2.361, 5.937, 4.471
Eingriffsgrundlage, 3.266, 4.328, 3.092, 3.722
Atlantikflug, 7.141, 4.445, 5.933, 4.948
Briefmarkenkatalog, 5.686, 4.39, 4.896, 4.546
proletarisiert, 3.461, 5.021, 4.486, 3.61
Konfirmationsanzug, 5.566, 2.66, 4.402, 5.493
Anna-Luise, 6.02, 3.504, 5.424, 5.62
Keramikgeschirr, 5.85, 2.227, 5.564, 4.96
Rüstungsarbeiter, 4.159, 5.348, 5.236, 3.149
Grundlinienspieler, 4.665, 3.419, 4.319, 3.988
Bodenzerstörung, 3.429, 5.715, 4.476, 2.334
Transporthelikopter, 5.879, 4.598, 5.607, 4.495
Gökay, 5.313, 3.747, 5.403, 4.719
Geheimdienstorganisation, 5.241, 6.054, 4.992, 3.653
Produktionsvertrag, 6.336, 3.443, 5.029, 5.09
Wählermasse, 3.614, 4.689, 4.674, 3.605
Warentreuhand, 5.024, 4.707, 4.026, 3.863
Hospiz-Initiative, 5.983, 3.366, 5.733, 4.54
Vergnügungseinrichtung, 4.34, 4.616, 4.693, 5.135
Wüstenrock, 4.663, 4.183, 4.37, 4.252
Schulservice, 3.412, 4.67, 3.325, 4.962
Papierknäuel, 7.569, 3.626, 7.432, 2.565
Kunsthaarperücke, 5.813, 4.001, 5.192, 4.533
Berufsmilitär, 5.845, 5.41, 5.236, 3.546
mitprofitieren, 3.124, 5.266, 2.6, 5.174
Ohröffnung, 7.399, 2.844, 5.878, 4.355
konvulsiv, 4.789, 6.342, 5.737, 2.823
Lizenzerlös, 4.564, 3.712, 4.308, 5.495
Tresorknacker, 5.987, 5.138, 5.112, 5.007
Denkmalplatz, 6.463, 2.297, 5.124, 5.073
Anti-Aggressions-Training, 4.652, 6.938, 4.251, 3.64
Wirtschaftsansiedlung, 3.756, 4.711, 3.921, 4.216
Rölf, 6.098, 3.894, 5.384, 4.968
liquidationsberechtigt, 3.631, 4.107, 4.238, 4.569
Kompositionselement, 5.224, 2.778, 4.838, 5.799
RTL-Chefredakteur, 5.316, 5.05, 5.611, 4.676
Aussichtsrestaurant, 6.414, 3.798, 7.3, 5.734
Tragbare, 4.71, 3.891, 5.084, 5.508
Bildempfänger, 4.445, 2.929, 3.756, 4.724
Riesenpuzzle, 6.498, 3.543, 6.932, 6.925
Spendenfluss, 4.656, 4.881, 5.071, 5.607
Fachdezernent, 3.774, 3.404, 3.862, 3.223
konjunkturstützend, 2.777, 3.285, 2.874, 6.631
niedergestreckt, 5.439, 5.698, 6.55, 4.556
Ski-Freizeit, 5.321, 4.46, 5.887, 5.758
Billigfilm, 5.437, 5.092, 5.933, 3.327
Privat-Sender, 5.154, 3.306, 4.239, 3.53
Stresserscheinung, 3.801, 5.237, 4.332, 3.798
Schaubauernhof, 6.697, 3.061, 6.855, 5.521
Revolutionsdrama, 4.252, 5.596, 5.626, 4.279
Neuabstimmung, 2.939, 4.625, 3.094, 5.215
Touristik-Unternehmen, 4.532, 4.082, 3.406, 5.475
Interessenidentität, 2.468, 4.744, 2.163, 4.606
Bieterrunde, 4.292, 3.483, 4.008, 3.981
RTL-Sprecher, 5.023, 4.212, 5.016, 3.798
Nachtfluggenehmigung, 3.47, 5.021, 3.33, 4.281
Bernbeck, 5.353, 4.328, 5.365, 3.104
Masthuhn, 6.022, 3.811, 5.943, 4.725
Grenzkommando, 5.12, 3.947, 4.706, 2.833
Führungseinrichtung, 5.468, 3.835, 6.001, 4.801
Bleistiftstummel, 7.177, 1.783, 6.168, 4.666
ZDF-Fernsehfilm, 4.772, 6.114, 5.447, 4.357
Todesfahrer, 5.303, 7.003, 5.938, 2.457
Spezialkrankenhaus, 6.508, 5.638, 6.362, 4.1
Pyramidenpappel, 7.155, 2.061, 6.748, 4.309
Synchronismus, 4.356, 3.667, 4.301, 5.62
Raketenabwehrprogramm, 5.734, 6.304, 5.467, 3.442
Wohnungslage, 3.06, 4.735, 3.78, 3.541
Scheidemantel, 4.256, 4.25, 3.467, 4.021
WDR-Produktion, 4.613, 7.306, 6.856, 5.058
Wohnzimmerecke, 7.039, 2.525, 7.476, 5.806
Artilleriemunition, 6.653, 4.818, 5.846, 3.445
hierhergehören, 3.945, 4.179, 3.988, 4.551
Schutzverglasung, 6.343, 1.663, 5.453, 5.281
Hexenball, 4.744, 6.248, 5.721, 4.876
Streichholzfabrik, 4.821, 5.541, 5.007, 4.826
Götzenburg, 5.866, 3.543, 5.484, 5.613
A-Lizenz-Inhaber, 4.913, 3.166, 4.803, 4.735
Stahlzaun, 6.003, 3.966, 5.853, 3.217
zwanzigprozentig, 4.026, 3.606, 4.104, 5.166
Wertskala, 2.821, 3.774, 3.66, 5.837
Landungsfahrzeug, 5.704, 3.437, 5.126, 4.398
Runo, 4.842, 3.972, 4.744, 4.598
Saaleingang, 7.221, 3.447, 6.994, 4.551
Ergänzungsgutachten, 4.31, 4.187, 4.063, 3.787
Club-Konzert, 5.245, 5.973, 5.163, 4.213
Systemreform, 3.268, 3.675, 3.398, 4.921
Schockfarbe, 6.021, 4.317, 5.346, 3.972
Spirituosenfabrik, 5.59, 3.64, 4.246, 4.441
Gewächshauskultur, 5.131, 2.875, 5.131, 6.095
Vollzugsplanung, 4.523, 3.649, 3.808, 4.279
Schriftsteller-Kollege, 5.968, 4.213, 5.424, 4.937
Oberpfälzerin, 5.401, 3.846, 6.023, 4.044
US-Kritik, 4.499, 5.248, 4.749, 3.733
Frühlingssaison, 4.601, 3.693, 5.042, 6.881
Herstellerunterlage, 5.337, 2.549, 4.482, 4.991
Gitarrenseite, 7.453, 3.377, 6.482, 4.986
rutschsicher, 5.49, 3.122, 5.207, 5.778
Anti-Europäer, 3.704, 5.134, 3.618, 3.029
Fussballalltag, 3.684, 2.583, 4.374, 5.686
Rechnungsrat, 5.051, 2.951, 4.476, 3.913
Eintracht-Spiel, 5.001, 4.336, 4.917, 4.523
heruntergerissen, 5.486, 4.304, 6.565, 3.617
Examensstress, 3.94, 5.577, 4.666, 4.479
Beschäftigungsziel, 4.047, 3.687, 4.013, 5.776
Absondern, 3.951, 4.824, 3.919, 2.704
Gesamtklima, 3.433, 4.064, 3.601, 4.762
Bahnsprecherin, 4.021, 3.886, 3.92, 4.256
Fussballstammtisch, 4.949, 4.506, 4.924, 4.293
Satelliten-Telefon, 6.771, 5.008, 5.976, 4.509
DIW-Forscher, 4.863, 4.193, 4.831, 4.604
Sportartikelgeschäft, 5.688, 3.549, 5.024, 5.075
handlungsanleitend, 3.06, 3.825, 3.713, 5.229
Marktbeherrscher, 4.251, 4.503, 4.097, 4.146
Süsswarenabteilung, 5.057, 4.852, 6.014, 4.826
mikroverfilmt, 5.328, 3.883, 5.616, 4.792
Sommerklima, 5.106, 3.538, 5.395, 7.107
Subventionstopf, 4.752, 2.87, 4.591, 3.571
Regionalliga-Handballer, 4.961, 3.972, 5.522, 4.746
Hineinschlüpfen, 4.839, 3.105, 5.144, 5.716
Weserinsel, 6.138, 2.345, 5.064, 5.913
Saumseligkeit, 2.177, 4.557, 3.732, 1.439
Hörfunkstation, 5.692, 4.718, 5.774, 5.218
Kabarettstück, 4.47, 5.528, 4.454, 4.925
Nachwuchs-Mannschaft, 5.595, 2.691, 5.053, 5.366
Verzierungstechnik, 5.642, 2.31, 4.255, 5.03
Herzgeschichte, 4.033, 4.931, 3.967, 5.659
Vorjahreszeitpunkt, 4.442, 3.94, 4.075, 3.824
Radioaktivitätswert, 5.652, 5.03, 6.492, 3.619
herumspritzen, 5.818, 6.07, 6.507, 3.341
Naturschutzgemeinschaft, 4.01, 4.159, 4.077, 4.373
Heimatwahlkreis, 5.117, 3.287, 3.898, 5.701
Einheitsprinzip, 2.152, 5.127, 3.133, 5.094
Wahnsinnsteil, 3.557, 5.167, 3.424, 5.967
neuen-alt, 2.491, 4.613, 4.031, 5.279
Hallen-Saison, 3.295, 5.759, 4.446, 5.827
zusammenschnurren, 3.679, 4.356, 3.38, 2.959
Referentenstelle, 4.99, 3.462, 3.686, 4.193
stadtspezifisch, 3.163, 4.812, 3.859, 5.914
Vormittagszeit, 4.662, 2.788, 4.121, 5.608
Minifernseher, 6.536, 3.95, 5.994, 4.96
Auslegungsstörfall, 3.751, 4.958, 3.932, 1.873
Charakterskizze, 4.777, 3.908, 4.697, 5.787
Gemeinschaftsmarkt, 3.385, 4.406, 4.014, 5.553
Satellitenausstrahlung, 4.389, 4.031, 4.8, 4.058
Atommüll-Entsorgung, 4.022, 5.234, 4.543, 3.544
Verehrte, 2.598, 4.928, 3.733, 4.577
Wiederaufbauleistung, 4.222, 5.473, 4.443, 5.095
Tabakhersteller, 5.785, 4.7, 4.888, 3.79
Aschhoff, 4.081, 3.395, 3.935, 3.633
Weitwinkeleinstellung, 5.045, 3.808, 6.319, 4.977
Hochschullehrgang, 4.44, 4.93, 4.734, 5.757
Sternenwarte, 5.881, 3.364, 6.413, 5.934
Tablettenmissbrauch, 4.504, 6.854, 5.234, 1.183
Club-Manager, 5.67, 2.817, 4.769, 4.366
Entwicklungshilfeleistung, 3.958, 4.188, 3.747, 4.922
Halswunde, 5.257, 6.287, 5.891, 3.651
ausschrauben, 6.148, 2.92, 6.065, 4.226
Systemkonfrontation, 3.674, 5.632, 3.578, 3.513
Hallenreitturnier, 4.177, 4.931, 4.576, 5.439
meinungsfrei, 2.911, 4.152, 3.414, 6.048
Bundesliga-Torhüter, 6.192, 3.757, 5.185, 4.094
Rübensaft, 6.302, 4.448, 6.191, 4.625
Elmire, 3.622, 5.16, 4.474, 4.478
Nazi-KZ, 6.961, 7.069, 6.909, 1.978
Simmy, 5.861, 4.75, 6.323, 5.357
mitproduziert, 4.118, 4.189, 4.944, 4.108
Betriebspsychologe, 4.45, 4.55, 4.416, 2.733
auffangend, 5.201, 4.785, 5.905, 5.588
Glaubensunterschied, 3.981, 6.257, 4.011, 3.572
Flüssigtreibstoff, 6.73, 5.05, 6.859, 5.111
Grundstücksvergabe, 3.521, 2.318, 3.23, 4.819
Journalistik-Professor, 5.363, 4.504, 4.612, 3.161
Stadtverordnetenwahl, 4.662, 3.75, 4.147, 3.723
UNESCO-Generaldirektor, 4.715, 5.445, 4.95, 6.048
Durchstöbern, 3.671, 4.069, 4.551, 6.809
Tramfahrt, 5.527, 3.931, 6.274, 5.069
Schmalkost, 2.67, 3.936, 3.471, 4.213
männerhassend, 3.09, 7.534, 4.818, 3.903
Discobus, 6.525, 4.821, 5.962, 4.402
Marktwettbewerb, 3.718, 4.603, 4.336, 5.373
Druckvorlagenhersteller, 5.718, 2.977, 5.432, 5.505
Olympiabad, 6.397, 3.179, 7.592, 5.818
Bankenbeteiligung, 4.794, 3.877, 3.96, 4.772
Stuhlfabrik, 6.525, 3.456, 5.424, 4.618
Designwerkstatt, 4.572, 3.843, 4.439, 6.001
Autobahnunfall, 5.446, 6.315, 5.916, 1.974
Nachwuchs-Band, 5.205, 5.528, 4.251, 6.174
Parlamentspräsidium, 5.102, 3.608, 5.335, 4.065
Zonta-Club, 5.364, 4.57, 5.104, 6.559
SPD-Bewerber, 4.854, 4.011, 4.37, 3.327
Ex-Miss, 3.632, 5.362, 4.346, 3.877
Satansbraten, 3.942, 6.939, 4.907, 3.133
Reichstagsufer, 6.526, 3.685, 6.977, 4.603
HIV-Infizierung, 4.459, 7.726, 5.309, 3.238
Bayer-Tochter, 4.838, 3.923, 4.082, 3.279
Heimatglocke, 4.483, 4.835, 4.858, 4.106
Beyza, 6.692, 4.439, 5.696, 5.076
Independent-Band, 4.576, 4.773, 4.797, 4.445
Palästina-Problem, 3.489, 5.518, 4.559, 4.102
Planungsvorstellung, 3.339, 3.293, 3.543, 3.884
Mühleis, 6.26, 3.87, 5.89, 3.82
ÖRK-Generalsekretär, 4.312, 4.726, 4.789, 4.119
ARD-Journalist, 5.356, 4.512, 5.868, 3.413
nachforschend, 2.919, 5.319, 3.72, 5.391
Raketenspezialist, 5.359, 3.489, 4.873, 5.546
Druckluftstation, 5.356, 3.229, 4.737, 4.406
Industrie-Messe, 5.635, 4.982, 6.116, 5.131
Riesenapparat, 4.841, 3.629, 3.659, 4.83
Zentralmotiv, 4.531, 4.131, 4.561, 4.193
Sherine, 4.306, 5.204, 4.322, 4.191
buchstabiert, 5.053, 4.559, 4.485, 5.513
Deichbauer, 5.588, 2.464, 5.188, 4.269
Semen, 3.614, 5.43, 4.182, 3.781
Joc, 5.288, 4.624, 5.324, 4.382
Bauhaus-Architekt, 4.503, 3.156, 5.745, 4.984
Gewerbebedarf, 5.5, 3.188, 5.511, 5.31
Geheimdienstminister, 5.67, 4.437, 5.136, 2.347
Kommunalpartnerschaft, 5.454, 5.043, 5.181, 6.791
mitwandernd, 4.089, 3.535, 5.382, 7.295
Heissenhuber, 4.918, 3.186, 5.55, 5.219
Thora-Rolle, 7.395, 3.966, 8.114, 3.87
Fernsprechverbindung, 4.754, 4.282, 5.017, 3.248
anschirren, 6.055, 3.408, 5.617, 5.557
Stichprobenverfahren, 3.462, 3.47, 4.036, 4.215
